"Taxon","H_HYPCD"
"Aepyprymnus_rufescens",4.276
"Baringa_nelsonensis",7.46111111111111
"Bettongia_lesueur",2.8475
"Bettongia_penicillata",2.65785714285714
"Bohra_illuminata",6.28
"Bulungamaya_delicata",2.656
"Congruus_congruus",6.865
"Dendrolagus_dorianus",4.01
"Dendrolagus_lumholtzi",3.95357142857143
"Dendrolagus_matschiei",4.045
"Dorcopsis_hageni",4.645
"Dorcopsis_veterum",4.89
"Dorcopsoides_fossilis",4.11
"Dorcopsulus_vanheurni",3.13444444444444
"Ganguroo_bilamina",2.76272727272727
"Hadronomas_puckridgi",6.73727272727273
"Hypsiprymnodon_moschatus",1.816
"Kurrabi_mahoneyi",9
"Lagorchestes_conspicillatus",4.83875
"Lagorchestes_hirsutus",4.096
"Lagostrophus_fasciatus",3.81285714285714
"Macropus_agilis",7.01857142857143
"Macropus_eugenii",4.65333333333333
"Macropus_fuliginosus",10.77
"Macropus_irma",6.06333333333333
"Macropus_parma",5.345
"Macropus_parryi",7.54
"Macropus_pavana",12.03
"Macropus_robustus",9.72
"Macropus_rufus",11.4607692307692
"Ngamaroo_archeri",2.92
"Onychogalea_unguifera",5.88285714285714
"Peradorcas_concinna",3.85
"Petrogale_brachyotis",4.07
"Petrogale_inornata",5.505
"Petrogale_lateralis",5.02
"Petrogale_penicillata",5.76833333333333
"Potorous_gilbertii",2.678
"Potorous_tridactylus",2.73933333333333
"Prionotemnus_palankarinnicus",8.33
"Procoptodon_goliah",15.03
"Setonix_brachyurus",3.87764705882353
"Simosthenurus_occidentalis",9.12368421052632
"Sthenurus_andersoni",8.044
"Thylogale_billardierii",4.72461538461538
"Thylogale_stigmatica",5.23833333333333
"Thylogale_thetis",5.265
"Troposodon_minor",8.125
"Wallabia_bicolor",7.0475
"Wanburoo_hilarus",4.52461538461538
